Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio de Janeiro;Campos;3-BR-6-RJS;3BR  0006  RJS;CARATINGA;Petrobras;480000038979792;2023/03;555,9084;0,0000;555,9084;10,5366;0,0000;10,5366;326,63600;90,4968;PETROBRAS 43;UEP;596;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-CRT-17HP-RJS;7CRT17HPRJS;CARATINGA;Petrobras;480000038989755;2023/03;448,5266;0,0000;448,5266;5,8679;0,0000;5,8679;181,90500;3.168,6233;PETROBRAS 48;UEP;387;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-BR-62HP-RJS;7BR62HPRJS;CARATINGA;Petrobras;480000038979792;2023/03;201,6552;0,0000;201,6552;4,3155;0,0000;4,3155;133,78200;382,8526;PETROBRAS 43;UEP;654;2023/02;BARRACUDA-CARATINGA;25,1;< 290ºC;33.3%;290ºC a 380ºC;14.4%;> 380ºC;52.3%;78,04;7,77;7,29;1,19;2,51;0,55;0,64;0,3;0,21;0,17;0,15;0,08;0;0;0,7;0,4;2,03361;532,06951;39855,3923;09/05/2023
Rio de Janeiro;Campos;7-ABL-54HP-RJS;7ABL54HPRJS;ALBACORA;Petro Rio Jaguar;480000038959767;2023/03;82,3220;0,0000;82,3220;2,4647;0,0000;2,4647;76,28300;255,1090;PETROBRAS 50;UEP;329;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-ABL-84HP-RJS;7ABL84HPRJS;ALBACORA;Petro Rio Jaguar;480000038959767;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;PETROBRAS 50;UEP;0;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-ABL-13HP-RJS;7ABL13HPRJS;ALBACORA;Petro Rio Jaguar;480000038959767;2023/03;169,7177;0,0000;169,7177;3,3581;0,0000;3,3581;103,93400;97,3650;PETROBRAS 50;UEP;411;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-ABL-81HP-RJS;7ABL81HPRJS;ALBACORA;Petro Rio Jaguar;480000038959767;2023/03;114,2516;0,0000;114,2516;3,2874;0,0000;3,2874;101,74700;358,4232;PETROBRAS 50;UEP;300;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-AB-103HP-RJS;7AB103HPRJS;ALBACORA;Petrobras;480000037039702;2023/03;1.570,1435;0,0000;1.570,1435;20,5314;0,0000;20,5314;635,45700;8,6862;PETROBRAS 25;UEP;533;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-ABL-87HP-RJS;7ABL87HPRJS;ALBACORA;Petro Rio Jaguar;480000038959767;2023/03;86,0487;0,0000;86,0487;1,3752;0,0000;1,3752;42,56200;354,5156;PETROBRAS 50;UEP;237;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio de Janeiro;Campos;7-AB-132HP-RJS;7AB132HPRJS;ALBACORA;Petrobras;480000037039702;2023/03;4.084,6943;0,0000;4.084,6943;55,0927;0,0000;55,0927;1.705,14600;2.417,9643;PETROBRAS 25;UEP;523;2021/02;Albacora;27,1;< 270ºC;30.9%;270ºC a 458ºC;26.9%;> 458ºC;42.2%;73,49;11,4;6,29;0,91;1,81;0,49;0,79;1,01;0,59;0,18;0,04;0,03;0;0,06;0,78;2,13;2,01479;529,77735;40188,6028;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-30D-RNS;7SER30DRNS;MACAU;3R Macau;480000038089762;2023/03;84,6178;0,0000;84,6178;0,5692;0,0000;0,5692;17,64400;131,8078;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;732;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-27D-RNS;7SER27DRNS;MACAU;3R Macau;480000038089762;2023/03;118,4755;0,0000;118,4755;1,0387;0,0000;1,0387;32,20100;281,2949;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;730;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-28D-RNS;7SER28DRNS;MACAU;3R Macau;480000038089762;2023/03;191,8398;0,0000;191,8398;0,6132;0,0000;0,6132;19,00800;550,1766;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;706;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-29D-RNS;7SER29DRNS;MACAU;3R Macau;480000038089762;2023/03;53,5346;0,0000;53,5346;0,3425;0,0000;0,3425;10,61900;760,6624;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;738;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-2D-RNS;7SER 0002D RNS;MACAU;3R Macau;480000038089762;2023/03;72,4639;0,0000;72,4639;0,8551;0,0000;0,8551;26,50900;1.134,8442;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;722;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Rio Grande do Norte;Potiguar;7-SER-31D-RNS;7SER31DRNS;MACAU;3R Macau;480000038089762;2023/03;65,5159;0,0000;65,5159;0,1257;0,0000;0,1257;3,89600;600,1990;Estação Coletora de Macau;INSTALACAO EMB/DESEMB;733;2021/12;MACAU;30,23;< 270ºC;30.21%;270ºC a 458ºC;38.33%;> 458ºC;31.46%;68,813;6,736;6,896;2,801;3,739;1,325;1,068;0,703;0,331;0,118;0,013;0;0;0,604;4,358;2,495;2,12184;542,65437;36715,5245;09/05/2023
Bahia;Recôncavo;7-C-173D-BA;7C   0173D BA;CANDEIAS;3R Candeias  S.A.;480000036389734;2023/03;20,2288;0,0000;20,2288;0,0140;0,0000;0,0140;0,42300;0,0586;Estação Pedra Branca;INSTALACAO EMB/DESEMB;634;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;82,756;9,057;2,955;0,609;0,837;0,301;0,396;0,433;0,245;0,051;0;0;0;0,013;1,575;0,772;2,03016;531,62888;39523,1672;09/05/2023
Rio de Janeiro;Santos;7-URG-6HP-RJS;7URG6HPRJS;URUGUÁ;Petrobras;480000035779741;2023/03;799,5842;0,0000;799,5842;25,9701;0,0000;25,9701;803,62800;1.650,2723;FPSO CIDADE DE SANTOS;UEP;662;2023/02;Tambaú-Uruguá;32,6;< 270ºC;34.18%;270ºC a 458ºC;35.72%;> 458ºC;30.1%;95,132;2,329;0,732;0,163;0,24;0,097;0,113;0,138;0,169;0,141;0,062;0;0;0;0,673;0,011;2,04863;533,78488;38124,8811;09/05/2023
São Paulo;Santos;9-BRSA-928-SPS;9SPS77A;NORDESTE DE SAPINHOÁ;Petrobras;486100038842000;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;FPSO CIDADE DE SÃO PAULO;UEP;1;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;09/05/2023
São Paulo;Santos;7-SPH-5-SPS;7SPH5SPS;NORDESTE DE SAPINHOÁ;Petrobras;486100038842000;2023/03;38,6020;0,0000;38,6020;2,3291;0,0000;2,3291;42,56300;15,5015;FPSO CIDADE DE SÃO PAULO;UEP;700;2023/02;Sapinhoá;30,1;< 270ºC;34.1%;270ºC a 458ºC;27.91%;> 458ºC;37.99%;;;;;;;;;;;;;;;;;;;;09/05/2023
