Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Bahia;Recôncavo;7-DJ-813H-BA;7DJ813HBA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;5,1043;0,0000;5,1043;0,0087;0,0000;0,0087;0,27000;188,5082;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;487;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Rio Grande do Norte;Potiguar;1-FJ-1-RN;1FJ  0001  RN;FAZENDA JUNCO;Potiguar E&P S.A.;480000039159772;2023/03;7,7734;0,0000;7,7734;0,1365;0,0000;0,1365;4,23000;13,3908;Ponto de Coleta de Brejinho;INSTALACAO EMB/DESEMB;739;;;;< ºC;%;;%;> ºC;%;94,8072;0,5307;0,9827;0,6334;0,4275;0,2444;0,1659;0,2337;0,2157;0,0915;0,0208;0,0027;0;0,008;1,5172;0,1186;2,14248;545,09146;37233,9032;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1477-RN;7ET1477RN;ESTREITO;Petrobras;480000037939797;2023/03;0,5225;0,0000;0,5225;0,0002;0,0000;0,0002;0,00700;648,3065;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;729;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;3-RO-11-BA;3RO  0011  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036719718;2023/03;1,4507;0,0000;1,4507;0,0002;0,0000;0,0002;0,00500;4,4219;Estação Remanso;INSTALACAO EMB/DESEMB;725;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;09/05/2023
Espírito Santo;Espírito Santo;7-LP-44-ES;7LP  0044  ES;LAGOA PARDA;Capixaba Energia;480000037529718;2023/03;28,2185;0,0000;28,2185;0,8119;0,0000;0,8119;23,89000;1.433,0725;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;558;2022/02;Lagoa Parda;28,2;< 270ºC;30.6%;270ºC a 458ºC;38.2%;> 458ºC;31.2%;86,7084;5,2114;3,2063;0,675;1,2507;0,5857;0,4765;0,1787;0;0;0;0;0;0;0,7643;0,943;2,05664;534,82687;38635,247;09/05/2023
Rio Grande do Norte;Potiguar;7-PQO-3-RN;PQO-3;PERIQUITO;Phoenix Óleo & Gás;486100080052004;2023/03;1,9113;0,0000;1,9113;0,0171;0,0000;0,0171;0,52900;7,2209;Estação Coletora de Periquito (POT-T-790);INSTALACAO EMB/DESEMB;744;2015/07;Periquito;34,3;< 270ºC;35.6%;270ºC a 458ºC;33.7%;> 458ºC;30.7%;96,0202;0,6283;0,0956;0,0541;0,0676;0,0612;0,0821;0,4833;0;0;0;0;0;0;2,5076;0;2,18581;549,82609;36933,5602;09/05/2023
Rio Grande do Norte;Potiguar;7-FP-447D-RN;7FP447DRN;FAZENDA POCINHO;Petrobras;480000037999773;2023/03;3,2557;0,0000;3,2557;0,0154;0,0000;0,0154;0,47700;343,6785;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;557;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-885-RN;7ET885RN;ESTREITO;Petrobras;480000037939797;2023/03;1,6280;0,0000;1,6280;0,0007;0,0000;0,0007;0,02100;13,2960;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;736;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-815H-BA;7DJ815HBA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;14,6246;0,0000;14,6246;0,0515;0,0000;0,0515;1,59800;351,4431;Estação Marapé (Dom João Mar);INSTALACAO EMB/DESEMB;705;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Rio Grande do Norte;Potiguar;1-STAR-11-RN;1PRR1RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/03;10,1292;0,0000;10,1292;0,0913;0,0000;0,0913;2,83000;0,0505;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;730;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1493-RN;7ET1493RN;ESTREITO;Petrobras;480000037939797;2023/03;0,9317;0,0000;0,9317;0,0004;0,0000;0,0004;0,01200;393,3120;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;729;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-MJ-11-BA;7MJ  0011  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036709747;2023/03;13,6105;0,0000;13,6105;0,2628;0,0000;0,2628;8,07300;0,2820;Estação S. Roque;INSTALACAO EMB/DESEMB;685;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;09/05/2023
Espírito Santo;Espírito Santo;7-LP-38-ES;7LP  0038  ES;LAGOA PARDA;Capixaba Energia;480000037529718;2023/03;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,00000;0,0000;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;0;2022/02;Lagoa Parda;28,2;< 270ºC;30.6%;270ºC a 458ºC;38.2%;> 458ºC;31.2%;86,7084;5,2114;3,2063;0,675;1,2507;0,5857;0,4765;0,1787;0;0;0;0;0;0;0,7643;0,943;2,05664;534,82687;38635,247;09/05/2023
Espírito Santo;Espírito Santo;7-CNC-6-ES;7CNC6ES;CANCÃ;Seacrest;486100094912003;2023/03;32,8598;0,0000;32,8598;0,0523;0,0000;0,0523;1,62000;752,1625;Ponto de Coleta área do CNC-6 (Cancã);INSTALACAO EMB/DESEMB;663;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;96,78;1,74;0,1;0,05;0,02;0,01;0,01;0;0,01;0;0,02;0;0;0;0,58;0,68;2,07845;537,4362;37725,8764;09/05/2023
Rio Grande do Norte;Potiguar;7-FP-162-RN;7FP  0162  RN;FAZENDA POCINHO;Petrobras;480000037999773;2023/03;0,8643;0,0000;0,8643;0,0084;0,0000;0,0084;0,26100;62,7400;Estação Coletora Central de Fazenda Pocinho;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;86,931;1,385;0,228;0,03;0,108;0,658;0,02;0,112;0,063;0,054;0,055;0,096;0;0,075;3,385;6,799;2,08223;537,37907;34183,0102;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-928-RN;7ET928RN;ESTREITO;Petrobras;480000037939797;2023/03;4,9436;0,0000;4,9436;0,0020;0,0000;0,0020;0,06300;90,5765;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;736;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-DJ-784D-BA;7DJ  0784D BA;DOM JOÃO;3R Candeias  S.A.;480000036449737;2023/03;10,9560;0,0000;10,9560;0,0146;0,0000;0,0146;0,45200;303,2086;Estação Dom João;INSTALACAO EMB/DESEMB;737;2022/02;Baiano Mistura;36,5;< 210ºC;19.1%;210ºC a 500ºC;49.7%;> 500ºC;31.2%;68,53;5,09;10,87;3,9;3,97;1,23;1,05;0,64;0,15;0,04;0,01;0;0;0,03;1,77;2,72;2,08205;537,89382;37529,5793;09/05/2023
Rio Grande do Norte;Potiguar;7-SDM-23-RN;7-SDM-0023-RN;JANDUÍ;Potiguar E&P S.A.;48610009128200516;2023/03;14,0752;0,0000;14,0752;0,0770;0,0000;0,0770;2,38700;1,9507;Ponto de Coleta do PA-1STAR11RN-POT-T-749;INSTALACAO EMB/DESEMB;734;;;;< ºC;%;;%;> ºC;%;97,88;0,294;0,063;0,124;0,143;0,192;0,155;0,202;0,166;0,063;0,014;0;0;0;0,61;0,094;2,32248;566,33898;37522,9036;09/05/2023
Rio Grande do Norte;Potiguar;7-ET-1708-RN;7ET1708RN;ESTREITO;Petrobras;480000037939797;2023/03;1,6374;0,0000;1,6374;0,0007;0,0000;0,0007;0,02100;170,5038;Estação Coletora de Estreito B;INSTALACAO EMB/DESEMB;739;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;09/05/2023
Bahia;Recôncavo;7-MJ-15-BA;7MJ  0015  BA;MATA DE SÃO JOÃO;PetroRecôncavo;480000036709747;2023/03;25,7089;0,0000;25,7089;0,1443;0,0000;0,1443;4,43200;767,7748;Estação S. Roque;INSTALACAO EMB/DESEMB;726;;;;< ºC;%;;%;> ºC;%;76,4173;8,8227;5,1695;1,3472;2,2675;0,8067;0,9588;0,8102;0,462;0,2093;0,0622;0,0126;0;0,0131;1,6131;1,0278;2,07908;537,49442;39478,7016;09/05/2023
Espírito Santo;Espírito Santo;7-LP-37-ES;7LP  0037  ES;LAGOA PARDA;Capixaba Energia;480000037529718;2023/03;53,2193;0,0000;53,2193;1,8379;0,0000;1,8379;54,07800;2.818,0469;Estação de Coleta e Tratamento de Lagoa Parda;INSTALACAO EMB/DESEMB;679;2022/02;Lagoa Parda;28,2;< 270ºC;30.6%;270ºC a 458ºC;38.2%;> 458ºC;31.2%;86,7084;5,2114;3,2063;0,675;1,2507;0,5857;0,4765;0,1787;0;0;0;0;0;0;0,7643;0,943;2,05664;534,82687;38635,247;09/05/2023
