Estado;Bacia;Nome Poço;;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia);;;Volume Gás Royalties (Mm³/dia);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados;;;;;;% em Volumes;;;;;;;;;;;;;;;;Densidade GLP Gás;Densidade GLP Líquido;"PCS GP
(kJ/m³)";Data de atualização
;;ANP;Operador;;;;;;;;Associado;Não Associado;Gás Total;;;;;;;;;Leves;;Médios;;Pesados;;Metano;Etano;Propano;Iso-Butano;Butano;Iso-Pentano;n-Pentano;Hexanos;Heptanos;Octanos;Nonanos;Decanos;Undecanos;Oxigênio;Nitrogênio;Gás Carbônico;;;;
;;;;;;;;;;;;;;;;;;;;;;Corte;Volume;Corte;Volume;Corte;Volume;;;;;;;;;;;;;;;;;;;;
Rio Grande do Norte;Potiguar;7-CJ-15-RN;7CJ  0015  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;3,0000;0,0000;3,0000;0,0005;0,0000;0,0005;0,01400;33,2473;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Espírito Santo;Espírito Santo;7-SM-57-ES;7SM  0057  ES;SÃO MATEUS;Seacrest SPE Cricaré;480000037739780;2023/03;21,4787;0,0000;21,4787;0,0710;0,0000;0,0710;2,20100;85,1565;Estação Coletora de SM-01;INSTALACAO EMB/DESEMB;702;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;94,43;2,16;1,56;0,32;0,41;0,13;0,12;0,09;0,03;0,02;0,01;0;0;0;0,36;0,36;2,02297;530,79477;38074,7812;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1452-RN;7CAM1452RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;11,0962;0,0000;11,0962;0,0018;0,0000;0,0018;0,05400;562,3403;Estação Coletora Canto do Amaro F;INSTALACAO EMB/DESEMB;742;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-SMI-31-RN;7SMI31RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;6,3509;0,0000;6,3509;0,0081;0,0000;0,0081;0,25000;525,9779;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;729;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-739-RN;7ARG739RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;1,1490;0,0000;1,1490;0,0007;0,0000;0,0007;0,02200;23,5107;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;510;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Espírito Santo;Espírito Santo;7-SM-86D-ES;7SM86DES;SÃO MATEUS;Seacrest SPE Cricaré;480000037739780;2023/03;72,9379;0,0000;72,9379;0,3248;0,0000;0,3248;10,06800;98,8405;Estação Coletora de SM-01;INSTALACAO EMB/DESEMB;727;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;94,43;2,16;1,56;0,32;0,41;0,13;0,12;0,09;0,03;0,02;0,01;0;0;0;0,36;0,36;2,02297;530,79477;38074,7812;09/05/2023
Amazonas;Solimões;7-LUC-71HP-AM;7LUC71HPAM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;264,4056;0,0000;264,4056;424,8309;0,0000;424,8309;4.660,10700;93,8427;Ponto de Coleta Área do LUC-09;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;7-MG-235-BA;7MG  0235  BA;MIRANGA;SPE Miranga;480000036739735;2023/03;15,8333;0,0000;15,8333;0,3606;0,0000;0,3606;11,17700;932,2663;Est. C de Miranga;INSTALACAO EMB/DESEMB;721;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-421-RN;7CAM 0421  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;2,5494;0,0000;2,5494;0,0004;0,0000;0,0004;0,01200;172,4418;Estação Coletora Canto do Amaro G;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Espírito Santo;Espírito Santo;7-SM-6-ES;7SM  0006  ES;SÃO MATEUS;Seacrest SPE Cricaré;480000037739780;2023/03;2,0744;0,0000;2,0744;0,0033;0,0000;0,0033;0,10300;57,0904;Estação Coletora de SM-01;INSTALACAO EMB/DESEMB;389;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;94,43;2,16;1,56;0,32;0,41;0,13;0,12;0,09;0,03;0,02;0,01;0;0;0;0,36;0,36;2,02297;530,79477;38074,7812;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1338-RN;7CAM1338RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;0,1025;0,0000;0,1025;0,0000;0,0000;0,0000;0,00000;0,1451;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;21;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-SMI-32-RN;7SMI32RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;0,6048;0,0000;0,6048;0,0008;0,0000;0,0008;0,02400;174,3562;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-369-RN;7ARG 0369  RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;3,5412;0,0000;3,5412;0,0022;0,0000;0,0022;0,06800;61,9595;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Espírito Santo;Espírito Santo;7-SM-60-ES;7SM  0060  ES;SÃO MATEUS;Seacrest SPE Cricaré;480000037739780;2023/03;4,6169;0,0000;4,6169;0,0155;0,0000;0,0155;0,48000;75,1478;Estação de Coleta e Tratamento de SM-08;INSTALACAO EMB/DESEMB;738;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;94,43;2,16;1,56;0,32;0,41;0,13;0,12;0,09;0,03;0,02;0,01;0;0;0;0,36;0,36;2,02297;530,79477;38074,7812;09/05/2023
Amazonas;Solimões;1-IMT-1-AM;1IMT 0001  AM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;0,0000;140,9910;140,9910;0,0000;202,9287;202,9287;2.225,99000;26,2520;Ponto de Coleta Área do IMT-03;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;7-MG-238-BA;7MG  0238  BA;MIRANGA;SPE Miranga;480000036739735;2023/03;0,0000;0,0000;0,0000;0,0000;7,7324;7,7324;239,65700;0,0000;Est. A de Miranga;INSTALACAO EMB/DESEMB;666;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-442-RN;7CAM 0442  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;19,8224;0,0000;19,8224;0,0032;0,0000;0,0032;0,09600;351,1323;Estação Coletora Canto do Amaro L;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Espírito Santo;Espírito Santo;7-SM-54-ES;7SM  0054  ES;SÃO MATEUS;Seacrest SPE Cricaré;480000037739780;2023/03;22,1572;0,0000;22,1572;0,2150;0,0000;0,2150;6,66400;117,9285;Estação de Coleta e Tratamento de SM-08;INSTALACAO EMB/DESEMB;738;2021/02;Espírito Santo;19,6;< 290ºC;20.1%;290ºC a 380ºC;14.5%;> 380ºC;65.4%;94,43;2,16;1,56;0,32;0,41;0,13;0,12;0,09;0,03;0,02;0,01;0;0;0;0,36;0,36;2,02297;530,79477;38074,7812;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1412-RN;7CAM1412RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;12,2093;0,0000;12,2093;0,0019;0,0000;0,0019;0,05900;263,5201;Estação Coletora Alto da Pedra B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-SMI-24-RN;7SMI24RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;1,3123;0,0000;1,3123;0,0032;0,0000;0,0032;0,09900;66,1832;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-849D-RN;7ARG849DRN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;2,4969;0,0000;2,4969;0,0015;0,0000;0,0015;0,04800;82,8569;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Rio Grande do Norte;Potiguar;7-LV-54D-RN;7LV54DRN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/03;2,7677;0,0000;2,7677;1,8361;0,0000;1,8361;56,55900;74,4354;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;75,55304;10,11463;6,71338;1,15518;2,10485;0,58774;0,78845;0,61534;0,32276;0,079;0,0033;0;0;0;1,70832;0,25401;2,02835;531,42852;40217,848;09/05/2023
Amazonas;Solimões;7-LUC-88HP-AM;7LUC88HPAM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;404,6831;0,0000;404,6831;209,4302;0,0000;209,4302;2.297,30600;251,4423;Ponto de Coleta Área do LUC-12;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;9-MG-243-BA;9MG  0243  BA;MIRANGA;SPE Miranga;480000036739735;2023/03;8,4338;0,0000;8,4338;0,4156;0,0000;0,4156;12,88200;0,8526;Est. D de Miranga;INSTALACAO EMB/DESEMB;743;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-AP-186-RN;7AP  0186  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;5,7004;0,0000;5,7004;0,0009;0,0000;0,0009;0,02700;32,0182;Estação Coletora CAM-N;INSTALACAO EMB/DESEMB;0;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-LV-56D-RN;7LV56DRN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/03;6,9084;0,0000;6,9084;2,1204;0,0000;2,1204;65,31700;4,6039;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;744;;;;< ºC;%;;%;> ºC;%;75,55304;10,11463;6,71338;1,15518;2,10485;0,58774;0,78845;0,61534;0,32276;0,079;0,0033;0;0;0;1,70832;0,25401;2,02835;531,42852;40217,848;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1379D-RN;7CAM1379DRN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;3,2898;0,0000;3,2898;0,0005;0,0000;0,0005;0,01500;81,0679;Estação Coletora Canto do Amaro B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-PJ-42-RN;7PJ42RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;4,9274;0,0000;4,9274;0,0063;0,0000;0,0063;0,19400;167,9619;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-379-RN;7ARG 0379  RN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;0,2374;0,0000;0,2374;0,0002;0,0000;0,0002;0,00600;37,6768;Estação Coletora A de Alto do Rodrigues;INSTALACAO EMB/DESEMB;184;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Rio Grande do Norte;Potiguar;7-LV-59-RN;7LV59RN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/03;2,2897;0,0000;2,2897;0,0867;0,0000;0,0867;2,67100;3,2636;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;75,55304;10,11463;6,71338;1,15518;2,10485;0,58774;0,78845;0,61534;0,32276;0,079;0,0033;0;0;0;1,70832;0,25401;2,02835;531,42852;40217,848;09/05/2023
Amazonas;Solimões;7-LUC-63HP-AM;7LUC63HPAM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;264,9035;0,0000;264,9035;274,5340;0,0000;274,5340;3.011,45100;951,4098;Ponto de Coleta Área do LUC-05;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;7-MG-234-BA;7MG  0234  BA;MIRANGA;SPE Miranga;480000036739735;2023/03;16,7924;0,0000;16,7924;0,3958;0,0000;0,3958;12,26600;876,4244;Est. C de Miranga;INSTALACAO EMB/DESEMB;736;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-508-RN;7CAM 0508  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;24,0857;0,0000;24,0857;0,1685;0,0000;0,1685;5,16400;1.286,2747;Estação Coletora Canto do Amaro L;INSTALACAO EMB/DESEMB;743;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-LV-28-RN;7LV  0028  RN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/03;3,3793;0,0000;3,3793;0,0315;0,0000;0,0315;0,97100;14,1385;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;189;;;;< ºC;%;;%;> ºC;%;75,55304;10,11463;6,71338;1,15518;2,10485;0,58774;0,78845;0,61534;0,32276;0,079;0,0033;0;0;0;1,70832;0,25401;2,02835;531,42852;40217,848;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1092-RN;7CAM1092RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;0,6848;0,0000;0,6848;0,0001;0,0000;0,0001;0,00200;4,8718;Estação Coletora Canto do Amaro E;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-PJ-41-RN;7PJ41RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;3,1861;0,0000;3,1861;0,0041;0,0000;0,0041;0,12600;82,7891;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;743;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-826D-RN;7ARG826DRN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;5,5168;0,0000;5,5168;0,0034;0,0000;0,0034;0,10600;370,8610;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;718;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Rio Grande do Norte;Potiguar;3-LV-42-RN;3LV  0042  RN;LIVRAMENTO;Potiguar E&P S.A.;480000038059774;2023/03;3,8642;0,0000;3,8642;4,6552;0,0000;4,6552;143,40000;3,7619;Estação Coleta de Livramento;INSTALACAO EMB/DESEMB;724;;;;< ºC;%;;%;> ºC;%;75,55304;10,11463;6,71338;1,15518;2,10485;0,58774;0,78845;0,61534;0,32276;0,079;0,0033;0;0;0;1,70832;0,25401;2,02835;531,42852;40217,848;09/05/2023
Amazonas;Solimões;7-LUC-84HP-AM;7LUC84HPAM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;113,4714;0,0000;113,4714;254,1436;0,0000;254,1436;2.787,78300;9,7638;Ponto de Coleta Área do LUC-09;INSTALACAO EMB/DESEMB;560;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;7-MG-254-BA;7MG  0254  BA;MIRANGA;SPE Miranga;480000036739735;2023/03;11,5219;0,0000;11,5219;0,2351;0,0000;0,2351;7,28700;252,7430;Est. A de Miranga;INSTALACAO EMB/DESEMB;262;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-523-RN;7CAM 0523  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;1,5376;0,0000;1,5376;0,0003;0,0000;0,0003;0,00700;205,2927;Estação Coletora Canto do Amaro L;INSTALACAO EMB/DESEMB;614;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;1-RAP-4-RN;1RAP 0004  RN;LESTE DE POÇO XAVIER;Potiguar E&P S.A.;4861000400098;2023/03;9,4163;0,0000;9,4163;1,4671;0,0000;1,4671;45,42100;24,7411;Estação Coletora Central de Leste de Poço Xavier;INSTALACAO EMB/DESEMB;728;;;;< ºC;%;;%;> ºC;%;81,34797;7,50709;5,98343;1,16204;1,78897;0,46928;0,48441;0,27841;0,1208;0,0387;0,0017;0;0;0,0057;0,7863;0,0252;2,02953;531,587;39809,2566;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-1147-RN;7CAM1147RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;5,8637;0,0000;5,8637;0,0009;0,0000;0,0009;0,02800;399,6580;Estação Coletora Canto do Amaro B;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
Rio Grande do Norte;Potiguar;7-PJ-7-RN;7PJ  0007  RN;PAJEÚ;Potiguar E&P S.A.;480000038139701;2023/03;7,3033;0,0000;7,3033;0,0093;0,0000;0,0093;0,28800;95,5304;Estação Coletora de Pajeú;INSTALACAO EMB/DESEMB;741;;;;< ºC;%;;%;> ºC;%;63,168;0,2304;0,394;1,2512;2,5625;1,4352;1,5261;1,0473;0,4742;0,1628;0,0149;0;0;0,3059;23,7638;3,6637;2,36904;572,18378;26309,0136;09/05/2023
Rio Grande do Norte;Potiguar;7-ARG-798D-RN;7ARG798DRN;ALTO DO RODRIGUES;Petrobras;480000037849704;2023/03;3,3143;0,0000;3,3143;0,0021;0,0000;0,0021;0,06400;42,1444;Estação Coletora B de Alto do Rodrigues;INSTALACAO EMB/DESEMB;608;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;79,243;0,034;0;0,002;0,002;0,004;0,005;0,01;0,005;0;0;0;0;0,264;19,24;1,211;2,44864;580,83019;29910,4577;09/05/2023
Rio Grande do Norte;Potiguar;7-LPX-21D-RN;7LPX21DRN;LESTE DE POÇO XAVIER;Potiguar E&P S.A.;4861000400098;2023/03;204,2389;0,0000;204,2389;13,3997;0,0000;13,3997;414,86000;4,6573;Estação Coletora Central de Leste de Poço Xavier;INSTALACAO EMB/DESEMB;698;;;;< ºC;%;;%;> ºC;%;81,34797;7,50709;5,98343;1,16204;1,78897;0,46928;0,48441;0,27841;0,1208;0,0387;0,0017;0;0;0,0057;0,7863;0,0252;2,02953;531,587;39809,2566;09/05/2023
Amazonas;Solimões;7-LUC-90HP-AM;7LUC90HPAM;LESTE DO URUCU;Petrobras;480000036279718;2023/03;201,9195;0,0000;201,9195;309,4651;0,0000;309,4651;3.394,62100;122,7260;Ponto de Coleta Área do LUC-12;INSTALACAO EMB/DESEMB;744;2018/05;Urucu;49,2;< 210ºC;53.7%;210ºC a 500ºC;32.59%;> 500ºC;13.71%;68,7;11,03;2,99;0,38;0,81;0,17;0,23;0,11;0,03;0,01;0;0;0;0;15,4;0,14;2,00255;528,35049;34876,4849;09/05/2023
Bahia;Recôncavo;7-MG-244D-BA;7MG  0244D BA;MIRANGA;SPE Miranga;480000036739735;2023/03;21,1782;0,0000;21,1782;1,6648;0,0000;1,6648;51,59800;1.354,0301;Est. C de Miranga;INSTALACAO EMB/DESEMB;744;2023/02;Miranga ECOL-B;36,4;< 210ºC;22.63%;210ºC a 500ºC;21.27%;> 500ºC;56.1%;81,77;9,53;3,96;0,8;1,16;0,32;0,34;0,29;0,14;0,04;0;0;0;0;0,4;1,25;2,03033;531,67629;39990,7849;09/05/2023
Rio Grande do Norte;Potiguar;7-CAM-532-RN;7CAM 0532  RN;CANTO DO AMARO;Petrobras;480000037929724;2023/03;10,2700;0,0000;10,2700;0,0016;0,0000;0,0016;0,05000;220,7583;Estação Coletora Canto do Amaro L;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;61,43;16,8;12,43;2,59;3,66;0,78;0,53;0,39;0,1;0,05;0,02;0;0;0;0,3;0,92;2,03149;531,83423;43282,9305;09/05/2023
