Estado;Bacia;Nome Poço ANP;Nome Poço Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Gás Natural (Mm³/dia) Assoc;Gás Natural (Mm³/dia) N Assoc;Gás Natural (Mm³/dia) Total;Volume Gás Royalties (m³/mês);Água (bbl/dia);Instalação Destino;Tipo Instalação;Tempo de Produção (hs por mês);Período da Carga;Corrente;Grau API;Fração de Destilados|Lev|Cort;Fração de Destilados|Lev|Vol;Fração de Destilados|Méd|Corte;Fração de Destilados|Méd|Vol;Fração de Destilados|Pes|Corte;Fração de Destilados|Pes|Vol;% em Volumes Metano;% em Volumes Etano;% em Volumes Propano;% em Volumes Iso-Butano;% em Volumes Butano;% em Volumes Iso-Pentano;% em Volumes n-Pentano;% em Volumes Hexanos;% em Volumes Heptanos;% em Volumes Octanos;% em Volumes Nonanos;% em Volumes Decanos;% em Volumes Undecanos;% em Volumes Oxigênio;% em Volumes Nitrogênio;% em Volumes Gás Carbônico;Densidade GLP Gás;Densidade GLP Líquido;PCS GP(kJ/m³);Data de atualização
Rio Grande do Norte;Potiguar;7-CAM-80-RN;7CAM 0080  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;31,8037;0;31,8037;0,0051;0;0,0051;0,155;3726,9723;Estação Coletora Canto do Amaro B;INSTALACAO EMB/DESEMB;741;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-392-SE;7CP  0392  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,8534;0;3,8534;0,0003;0;0,0003;0,008;116,8503;Estação Coletora de Oiteirinhos II;INSTALACAO EMB/DESEMB;419;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-ET-1855-RN;7ET1855RN;ESTREITO;3R Potiguar;480000037939797;2023/05;2,1747;0;2,1747;0,0009;0;0,0009;0,028;102,586;Estação Coletora Rio Panon A;INSTALACAO EMB/DESEMB;511;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;;;;;;;;;;;;;;;;;;;;10/07/2023 02:35
Rio Grande do Norte;Potiguar;7-CAM-1222-RN;7CAM1222RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;16,9443;0;16,9443;0,0027;0;0,0027;0,082;1042,3199;Estação Coletora Canto do Amaro F;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-605-RN;7CAM 0605  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;0,0097;0;0,0097;0;0;0;0;1,9902;Estação Coletora Canto do Amaro D;INSTALACAO EMB/DESEMB;7;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;9-CP-610-SE;9CP  0610  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;4,1527;0;4,1527;0,0003;0;0,0003;0,009;129,1255;Estação Coletora de Jericó;INSTALACAO EMB/DESEMB;367;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1383-SE;7CP  1383  SE;CARMÓPOLIS;Carmo;480000038479714;2023/05;4,5039;0;4,5039;0,0003;0;0,0003;0,009;68,7661;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;120;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-CAM-1523D-RN;7CAM1523DRN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;4,1113;0;4,1113;0,0006;0;0,0006;0,019;83,0103;Estação Coletora Cajazeiras C;INSTALACAO EMB/DESEMB;742;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Rio Grande do Norte;Potiguar;7-AP-58-RN;7AP  0058  RN;CANTO DO AMARO;3R Potiguar;480000037929724;2023/05;7,0389;0;7,0389;0,0011;0;0,0011;0,034;422,4111;Estação Coletora Alto da Pedra A;INSTALACAO EMB/DESEMB;744;2020/11;RGN Mistura;23,2;< 290ºC;20.6%;290ºC a 380ºC;14.2%;> 380ºC;65.2%;74,46;12,11;5,87;1,47;2,15;0,86;0,66;0,51;0,2;0,06;0,02;0;0;0,03;1,31;0,29;2,06029;535,26481;40974,0381;10/07/2023 02:36
Sergipe;Sergipe;7-CP-1852D-SE;7CP1852DSE;CARMÓPOLIS;Carmo;480000038479714;2023/05;3,7897;0;3,7897;0;0;0;0;65,7882;Estação Coletora de Entre Rios;INSTALACAO EMB/DESEMB;137;2021/02;Sergipano Terra;24,5;< 290ºC;26.94%;290ºC a 380ºC;14.36%;> 380ºC;58.7%;62,325;7,535;6,27;2,13;2,53;1,08;0,71;0,65;0,135;0,13;0,01;0,005;0,015;0,51;4,435;11,53;2,08655;538,41761;33074,6336;10/07/2023 02:36
